20121209 16:58:53 | : | DEBUG | admin | t2
20121209 16:58:54 | : | DEBUG | admin | 
20121209 16:59:24 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121209 16:59:25 | classes\sessionObject.php:144 | DEBUG | admin | 
20121209 17:00:09 | classes\sessionObject.php:144 | DEBUG | admin | 
20121209 17:01:36 | classes\sessionObject.php:144 | DEBUG | admin | 
20121209 17:02:09 | classes\sessionObject.php:144 | DEBUG | admin | 
20121210 13:31:43 | : | DEBUG | admin |  Load time for http://localhost/sessionweb/list2.php 0.0513 seconds
20121210 13:31:48 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:31:48 | classes\sessionObject.php:144 | DEBUG | admin | 
20121210 13:31:55 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:32:00 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:32:00 | classes\sessionObject.php:144 | DEBUG | admin | 
20121210 13:33:24 | classes\sessionObject.php:145 | DEBUG | admin | 
20121210 13:35:15 | : | DEBUG | admin |  Load time for http://localhost/sessionweb/list2.php 0.0562 seconds
20121210 13:35:20 | : | DEBUG | admin |  Load time for http://localhost/sessionweb/session.php?sessionid=2&command=edit 0.1067 seconds
20121210 13:36:27 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:36:27 | classes\sessionObject.php:144 | DEBUG | admin | 
20121210 13:37:29 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:37:30 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:38:31 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:38:36 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:38:37 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:38:55 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:38:57 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:40:21 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:40:22 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:40:38 | : | DEBUG | admin |  Load time for http://localhost/sessionweb/list2.php 0.0685 seconds
20121210 13:40:42 | : | DEBUG | admin |  Load time for http://localhost/sessionweb/session.php?sessionid=3&command=edit 0.1101 seconds
20121210 13:41:00 | : | DEBUG | admin |  Load time for http://localhost/sessionweb/session.php?sessionid=2&command=edit 0.0862 seconds
20121210 13:41:08 | : | DEBUG | admin |  Load time for http://localhost/sessionweb/session.php?sessionid=2&command=edit 0.1426 seconds
20121210 13:41:13 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:41:14 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:41:58 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:41:59 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:42:01 | classes\sessionObject.php:144 | DEBUG | admin | t2
